x,y
1.08E+00,-5.44E-01
8.41E-01,-5.10E-01
9.67E-01,-4.91E-01
1.24E+00,-4.87E-01
7.70E-01,-4.67E-01
5.79E-01,-4.66E-01
1.12E+00,-4.56E-01
5.76E-01,-4.56E-01
7.03E-01,-4.56E-01
8.73E-01,-4.56E-01
1.08E+00,-4.55E-01
1.42E+00,-4.53E-01
1.38E+00,-4.21E-01
5.93E-01,-3.87E-01
1.30E+00,-3.82E-01
1.30E+00,-3.80E-01
5.30E-01,-3.71E-01
1.53E+00,-3.69E-01
1.48E+00,-3.44E-01
1.60E+00,-3.29E-01
3.16E-01,-3.25E-01
4.60E-01,-3.25E-01
1.73E+00,-2.23E-01
2.24E-01,-2.17E-01
1.78E+00,-2.05E-01
3.44E-01,-2.02E-01
1.63E-01,-1.91E-01
4.08E-01,-1.87E-01
1.76E+00,-1.22E-01
1.74E+00,-9.02E-02
1.74E-01,-8.15E-02
1.84E+00,-6.63E-02
1.87E+00,-6.18E-02
9.87E-01,-3.97E-02
-1.07E+00,-2.62E-02
7.70E-02,-7.87E-03
9.96E-01,5.96E-03
-9.88E-01,4.15E-02
1.70E-01,4.83E-02
1.01E+00,8.93E-02
8.94E-01,9.28E-02
1.96E+00,1.27E-01
-1.06E+00,1.31E-01
1.94E+00,1.33E-01
-9.01E-01,1.49E-01
1.88E+00,1.70E-01
9.49E-02,1.74E-01
4.11E-02,2.36E-01
1.95E+00,2.43E-01
1.08E-01,2.51E-01
9.82E-01,2.54E-01
-9.09E-01,2.73E-01
-9.63E-01,2.98E-01
-9.64E-01,3.34E-01
2.08E+00,3.43E-01
9.07E-01,3.62E-01
1.98E+00,3.62E-01
6.20E-02,3.71E-01
-6.37E-02,3.85E-01
8.84E-01,4.26E-01
-8.70E-01,4.31E-01
-8.63E-01,4.37E-01
1.98E+00,4.43E-01
9.11E-01,4.72E-01
-4.07E-03,4.81E-01
8.16E-01,4.86E-01
1.90E+00,5.32E-01
-2.76E-03,6.36E-01
-7.91E-01,5.69E-01
8.19E-01,6.12E-01
-6.95E-01,6.26E-01
8.46E-01,6.42E-01
7.70E-01,6.69E-01
-8.44E-01,6.73E-01
5.49E-01,6.83E-01
-7.39E-01,7.04E-01
6.32E-01,7.32E-01
7.13E-01,7.34E-01
-5.45E-01,7.95E-01
-5.37E-01,8.05E-01
6.06E-01,8.07E-01
-7.64E-01,8.11E-01
-5.12E-01,8.16E-01
-4.78E-01,8.73E-01
5.42E-01,8.81E-01
2.66E-01,8.86E-01
4.12E-01,8.89E-01
-3.42E-01,8.93E-01
5.76E-01,9.07E-01
-4.17E-01,9.11E-01
2.85E-01,9.55E-01
1.76E-01,9.68E-01
6.89E-02,9.78E-01
-2.37E-01,9.84E-01
8.53E-02,9.92E-01
-4.77E-03,1.01E+00
-3.58E-01,1.01E+00
-5.18E-02,1.01E+00
-1.54E-01,1.09E+00
2.08E-01,1.15E+00
